Sentence_Type,Class_Type,,,
"
and i'll be right with you here",statement,,,
"
there's no railcard discount with your Virgin Value Return",statement,,,
but let me see what you'd,command,,,
"
which is             View",statement,,,
"
it's just a flat one way",statement,,,
"
but they said there wasn't  there was only one a day from Liverpool",statement,,,
"
wh... what day would i leave",question,,,
"
they're no longer available",statement,,,
"
that's for an extra 3 pounds 50  there",statement,,,
"
the cheapest fare that i'm checking for is the Virgin Value Return which is 12 pounds each",statement,,,
"
do you want me to book that for you",question,,,
"
if you miss any services that i'm going to reserve you on",statement,,,
"
do you have your card out",question,,,
let me let me pull up his profile  first,command,,,
"
it's 19 pounds each for the Virgin Value fare",statement,,,
"
i guess i have some thinking to do and some questions to ask",statement,,,
let me get it the right way round,command,,,
"
there's a 7:15 in the morning",statement,,,
"
and those are the only ones i have right up you know before 6",statement,,,
"
if you just like to bear with me a moment please",statement,,,
"
whereas th... this non-refundable is non-refundable",statement,,,
"
if i ask you to be there for half an hour before departure time of the train",statement,,,
"
WWW's got a negotiated rate",statement,,,
"
 i'm just checking to see whether or not the Super Advance with the railcard is available  so you can get a reduced rate travelling",statement,,,
"
not return on a Friday",statement,,,
"
you should",statement,,,
so let's let's leave it the way we have it,command,,,
"
wh... what happens to the cost if i change and leave from Oakland",question,,,
"
and that's your Super Saver",statement,,,
"
the Super Advance Return",statement,,,
"
it's going to cost you 52 pounds each",statement,,,
"
i'm going on Sunday",statement,,,
"
do you hold a current rail card",question,,,
"
if you just put it on the  19 hundred  from erm  probably from Euston actually",statement,,,
"
and i would like to get uh aisle seats on those please",statement,,,
"
i don't have a profile for F",statement,,,
"
the cre... credit card holder has to sign for them",statement,,,
let me get his profile for J G,command,,,
"
and does he have a specific um an approximate date i should put in here",question,,,
"
see C O D",command,,,
"
that's going to be sold out um",statement,,,
"
 would you like smoking or non-smoking",question,,,
"
he hasn't he hasn't filled out the form probably in any case",statement,,,
let me get the uh schedule,command,,,
"
it's Visa",statement,,,
"
 so what's the cheapest fare i could do it",question,,,
"
it's uh flight 1 8 0 9 out of Ottawa at 6:50 a m",statement,,,
"
that's Delta flight 38 17",statement,,,
"
i just want to find out about the cheap train",statement,,,
"
30 pounds 70's going to be de... deducted from that card",statement,,,
"
that's  lovely",statement,,,
let me check,command,,,
"
but i don't know the precise time",statement,,,
"
Oakland has slightly different fares to Dallas than  than you know San Francisco does",statement,,,
"
and that's the only available one there",statement,,,
"
i i can't travel on Saturday",statement,,,
"
if if he needs that right",statement,,,
"
say  the 19th of September",command,,,
"
you get in at 16:25",statement,,,
"
i prefer that",statement,,,
"
it's United flight twent... uh 1 2 6 out of San Francisco at 10 a m",statement,,,
"
and when is it you'd like to return",question,,,
"
we don't know when t... he's gonna come back yet",statement,,,
"
 when you said confirm it i thought it'd come up on your screen there",statement,,,
"
there's not an advance purchase tickets available now",statement,,,
"
 because obviously i want",statement,,,
"
it's a company",statement,,,
"
i'm still waiting on the London to Brussels",statement,,,
"
that's a 4:25 arriving John Wayne at 7:41",statement,,,
"
and do you have any seat preference",question,,,
"
i think somebody did mention it when i enquired the other day actually",statement,,,
"
what what about",question,,,
"
and that is the lowest no-penalty available in that market",statement,,,
"
i've got a current em yeah debit card",statement,,,
"
those are both aisles  round trip",statement,,,
"
that's about where it belongs",statement,,,
"
i'm showing that flight as being sold out completely",statement,,,
"
they leave",statement,,,
"
and if you needed to change any of the times of travel",statement,,,
"
and and then we will go ahead and book for the American Airlines",statement,,,
"
what what's the last name of the passenger",question,,,
"
i see that",statement,,,
"
the dates times and seat numbers will be printed on the tickets for you",statement,,,
"
there's a   4:50 p m",statement,,,
"
and then what about Saturday a flight next Saturday",question,,,
"
83 pounds will be debited from that card",statement,,,
"
the best available i can book you is in smoking",statement,,,
"
and what date would you like to travel out",question,,,
"
do they do they have an earlier one where there is a Value f...  thing",question,,,
"
and i need a flight uh let's see i guess mid to late morning back uh",statement,,,
"
but there's not any allocation for the Virgin Value fare",statement,,,
"
is it the 8th",question,,,
"
there are other",statement,,,
"
isn't it",question,,,
"
the one for day time is 9 9 1",statement,,,
"
 they have now been booked up",statement,,,
"
and let's see",command,,,
"
are they in the train stations",question,,,
"
let's see what what the new price would be",command,,,
"
i can't tell you exactly what seat numbers we are confirming",statement,,,
"
but um   i just wasn't sure how far away this is or how he gets to work in the morning",statement,,,
"
and that's 23 45",statement,,,
"
and he's only about a block from there",statement,,,
"
where's he going from to",question,,,
"
the one i gave you is Sunday morning",statement,,,
"
so you don't miss your train",statement,,,
"
when i ask Hong Kong Soviet Union",statement,,,
let's take a look,command,,,
"
this is A with American Express returning your call",statement,,,
"
he's on American flight 2 6 2",statement,,,
"
how much earlier",question,,,
"
  pay 46 pound 50",statement,,,
"
when is it they're returning",question,,,
"
i think i ought to be looking at a flight out of there perhaps no earlier than round about 7 o'clock",statement,,,
"
the number 7",statement,,,
"
let me just see what",command,,,
"
 and that's going to be 14 pounds return",statement,,,
"
so that's the erm",statement,,,
"
i'll have this one then",statement,,,
"
they're going to be two other people in a different uh org that are going to be taking the same flight",statement,,,
"
is is there any particular  reason why it's Wigan rather than Stafford or Preston or all the other ones on the line",question,,,
"
i think the 10 to 6 would be the most appropriate one",statement,,,
"
let's go ahead and stick with it",command,,,
